country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Afghanistan	0.04	0.03	0.05	0.05	0.16	0.15	0.11	0.25	0.35	0.33	0.25	0.23	0.21	0.18	0.12	0.2	0.31	0.28	0.27	0.27	0.24	0.33	0.36	0.41	0.5	0.58	0.58	0.63	0.64	0.63	0.66	0.66
Albania	0.94	0.94	0.95	0.95	0.95	0.96	0.96	0.96	0.96	0.94	0.94	0.78	0.94	0.96	0.99	0.97	0.98	0.99	0.96	0.97	0.97	0.97	0.98	0.97	0.97	0.98	0.97	0.98	0.99	0.98	0.99	0.99
Algeria						0.69	0.73	0.79	0.85	0.87	0.89	0.89	0.88	0.88	0.87	0.88	0.88	0.89	0.85	0.83	0.86	0.89	0.86	0.87	0.86	0.88	0.95	0.95	0.93	0.95	0.95	0.95
Andorra																		0.9	0.89	0.9	0.98	0.96	0.97	0.99	0.99	0.98	0.93	0.96	0.99	0.99	0.99	0.99
Angola				0.06	0.08	0.08	0.1	0.1	0.12	0.18	0.24	0.26	0.21	0.3	0.27	0.24	0.28	0.41	0.47	0.21	0.31	0.42	0.47	0.46	0.47	0.47	0.44	0.83	0.81	0.73	0.91	0.86
Antigua and Barbuda	0.54	0.79	0.79	0.99	0.94	0.99	0.96	0.97	0.98	0.99	0.99	0.94	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.95	0.97	0.98	0.99	0.97	0.99	0.99	0.99	0.99	0.99	0.98	0.99
Argentina	0.44	0.49	0.58	0.61	0.62	0.66	0.67	0.75	0.8	0.8	0.87	0.8	0.81	0.81	0.82	0.85	0.83	0.88	0.84	0.86	0.83	0.83	0.92	0.93	0.91	0.94	0.94	0.96	0.92	0.87	0.94	0.93
Armenia													0.85	0.85	0.86	0.98	0.86	0.88	0.82	0.91	0.93	0.94	0.94	0.94	0.91	0.9	0.87	0.88	0.89	0.93	0.94	0.95
Australia	0.33	0.4	0.48	0.55	0.62	0.68	0.75	0.81	0.88	0.93	0.95	0.93	0.91	0.9	0.88	0.86	0.86	0.77	0.82	0.88	0.9	0.92	0.92	0.93	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
Austria	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.82	0.74	0.81	0.84	0.83	0.84	0.83	0.86	0.83	0.85	0.83	0.83	0.83	0.83
Azerbaijan													0.58	0.66	0.69	0.74	0.74	0.7	0.73	0.75	0.75	0.75	0.75	0.75	0.75	0.72	0.74	0.74	0.74	0.73	0.72	0.74
Bahamas	0.36	0.55	0.69	0.65	0.69	0.86	0.85	0.85	0.85	0.86	0.86	0.92	0.92	0.91	0.91	0.87	0.85	0.86	0.89	0.82	0.99	0.99	0.94	0.92	0.93	0.93	0.95	0.95	0.93	0.96	0.99	0.98
Bahrain	0.72	0.75	0.79	0.83	0.86	0.9	0.92	0.95	0.96	0.96	0.94	0.99	0.94	0.94	0.96	0.95	0.96	0.98	0.98	0.97	0.97	0.99	0.98	0.97	0.98	0.98	0.98	0.97	0.98	0.98	0.99	0.99
Bangladesh		0.01	0.01	0.01	0.01	0.02	0.04	0.09	0.16	0.49	0.69	0.74	0.66	0.74	0.84	0.69	0.77	0.78	0.74	0.77	0.83	0.85	0.83	0.87	0.96	0.96	0.93	0.95	0.95	0.96	0.95	0.96
Barbados	0.6	0.58	0.62	0.69	0.83	0.83	0.79	0.79	0.76	0.78	0.91	0.82	0.9	0.86	0.9	0.93	0.85	0.96	0.93	0.87	0.93	0.84	0.87	0.89	0.93	0.92	0.84	0.93	0.85	0.93	0.86	0.91
Belarus													0.9	0.91	0.92	0.96	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.5	0.99	0.99	0.99	0.95	0.97	0.96	0.98	0.98
Belgium	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.8	0.94	0.93	0.92	0.95	0.97	0.96	0.94	0.95	0.87	0.79	0.87	0.95	0.95	0.95	0.95	0.95	0.97	0.99	0.99	0.99	0.99	0.99	0.98
Belize	0.47	0.44	0.61	0.59	0.53	0.58	0.82	0.85	0.61	0.79	0.91	0.82	0.74	0.85	0.88	0.83	0.85	0.86	0.87	0.87	0.91	0.96	0.89	0.96	0.97	0.96	0.98	0.96	0.94	0.97	0.96	0.95
